Month,Stage,Opening Balance,Tuition & Fees,Living Expenses,Summer Earnings,Stipend / Reimbursement,Electives / Travel,CaRMS Fees,Exam / LMCC / Licensing,Residency / College Fee,Residency Repayment,Interest Added,Closing Balance
2026-09,Undergrad Year 1,0.0,12005.8,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.87,14554.67
2026-10,Undergrad Year 1,14554.67,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,17114.97
2026-11,Undergrad Year 1,17114.97,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59,19682.56
2026-12,Undergrad Year 1,19682.56,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.71,22262.27
2027-01,Undergrad Year 1,22262.27,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.48,24851.75
2027-02,Undergrad Year 1,24851.75,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.25,27441.0
2027-03,Undergrad Year 1,27441.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.09,30050.08
2027-04,Undergrad Year 1,30050.08,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.98,32665.07
2027-05,Undergrad Year 1,32665.07,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,127.65,32792.72
2027-06,Undergrad Year 1,32792.72,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,124.12,32916.84
2027-07,Undergrad Year 1,32916.84,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,128.6,33045.44
2027-08,Undergrad Year 1,33045.44,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,129.09,33174.53
2027-09,Undergrad Year 2,33174.53,12005.8,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.42,47850.75
2027-10,Undergrad Year 2,47850.75,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.37,50537.12
2027-11,Undergrad Year 2,50537.12,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.05,53227.17
2027-12,Undergrad Year 2,53227.17,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.72,55933.89
2028-01,Undergrad Year 2,55933.89,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.97,58650.87
2028-02,Undergrad Year 2,58650.87,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.3,61363.16
2028-03,Undergrad Year 2,61363.16,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.53,64100.69
2028-04,Undergrad Year 2,64100.69,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.75,66840.44
2028-05,Undergrad Year 2,66840.44,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,257.05,67097.49
2028-06,Undergrad Year 2,67097.49,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,249.81,67347.3
2028-07,Undergrad Year 2,67347.3,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,258.97,67606.27
2028-08,Undergrad Year 2,67606.27,0.0,2500.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,259.95,67866.22
2028-09,Undergrad Year 3,67866.22,12005.8,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.53,82669.55
2028-10,Undergrad Year 3,82669.55,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.2,85487.76
2028-11,Undergrad Year 3,85487.76,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.11,88305.87
