Month,Stage,Opening Balance,Tuition & Fees,Living Expenses,Summer Earnings,Stipend / Reimbursement,Electives / Travel,CaRMS Fees,Exam / LMCC / Licensing,Residency / College Fee,Residency Repayment,Interest Added,Closing Balance
2026-09,Undergrad Year 1,0.0,7457.7,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.23,9488.93
2026-10,Undergrad Year 1,9488.93,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.08,11529.01
2026-11,Undergrad Year 1,11529.01,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15,13575.16
2026-12,Undergrad Year 1,13575.16,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55,15630.71
2027-01,Undergrad Year 1,15630.71,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33,17694.04
2027-02,Undergrad Year 1,17694.04,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.92,19757.96
2027-03,Undergrad Year 1,19757.96,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.96,21836.92
2027-04,Undergrad Year 1,21836.92,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.92,23920.83
2027-05,Undergrad Year 1,23920.83,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,23514.33
2027-06,Undergrad Year 1,23514.33,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,89.15,23103.48
2027-07,Undergrad Year 1,23103.48,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,90.41,22693.89
2027-08,Undergrad Year 1,22693.89,0.0,2000.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,88.86,22282.75
2027-09,Undergrad Year 2,22282.75,7344.92,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.46,31740.13
2027-10,Undergrad Year 2,31740.13,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.33,33864.46
2027-11,Undergrad Year 2,33864.46,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.98,35992.44
2027-12,Undergrad Year 2,35992.44,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.43,38132.87
